producto_id,sku,nombre,descripcion,precio_costo,precio_venta,margen_pct,categoria_id,activo,fecha_creacion
44444444-0000-0000-0000-000000000010,DEP-001,Bicicleta MTB Trek Marlin,"Mountain bike aluminio 29""",1200000,1899000,36.81,11111111-0000-0000-0000-000000000004,true,2026-05-16
44444444-0000-0000-0000-000000000003,ELEC-LP-001,Lenovo IdeaPad 3,"Laptop i5 11va gen, 8GB RAM, 512GB",1500000,2199000,31.79,11111111-0000-0000-0000-000000000012,true,2026-05-16
44444444-0000-0000-0000-000000000004,ELEC-LP-002,MacBook Air M2,"Apple M2, 8GB RAM, 256GB SSD",4500000,5999000,24.99,11111111-0000-0000-0000-000000000012,true,2026-05-16
44444444-0000-0000-0000-000000000001,ELEC-SM-001,Samsung Galaxy A54,"Smartphone 128GB, cámara 50MP",850000,1199000,29.11,11111111-0000-0000-0000-000000000011,true,2026-05-16
44444444-0000-0000-0000-000000000002,ELEC-SM-002,iPhone 14 128GB,"Apple iPhone, chip A15 Bionic",2800000,3799000,26.30,11111111-0000-0000-0000-000000000011,true,2026-05-16
44444444-0000-0000-0000-000000000009,HOGAR-001,Licuadora Oster Pro,"700W, 6 velocidades, 1.5L",120000,229000,47.60,11111111-0000-0000-0000-000000000003,true,2026-05-16
44444444-0000-0000-0000-000000000007,ROPA-CAL-001,Tenis Nike Air Max 270,"Running, talla 42, negro",280000,449000,37.64,11111111-0000-0000-0000-000000000022,true,2026-05-16
44444444-0000-0000-0000-000000000008,ROPA-CAL-002,Tenis Adidas Ultraboost 22,"Zapatilla running premium, talla 41",350000,599000,41.57,11111111-0000-0000-0000-000000000022,true,2026-05-16
44444444-0000-0000-0000-000000000005,ROPA-CAM-001,Camiseta Polo Ralph Lauren,"100% algodón, talla M",95000,189000,49.74,11111111-0000-0000-0000-000000000021,true,2026-05-16
44444444-0000-0000-0000-000000000006,ROPA-CAM-002,Camiseta Nike Dri-FIT,Tejido transpirable deportivo,55000,99000,44.44,11111111-0000-0000-0000-000000000021,true,2026-05-16
